study,bullet_dir,filename,bullet_code
Clones 224 2,Set 3/Barrel 3/Bullet 2,Clones 224 2 - Set 3 - Barrel 3 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.3.3.2
Clones 224 2,Set 3/Barrel 4/Bullet 1,Clones 224 2 - Set 3 - Barrel 4 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Marco Yepez.x3p,cln2242.3.4.1
Clones 224 2,Set 3/Barrel 4/Bullet 2,Clones 224 2 - Set 3 - Barrel 4 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Marco Yepez.x3p,cln2242.3.4.2
Clones 224 2,Set 3/Barrel 5/Bullet 1,Clones 224 2 - Set 3 - Barrel 5 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Marco Yepez.x3p,cln2242.3.5.1
Clones 224 2,Set 3/Barrel 5/Bullet 2,Clones 224 2 - Set 3 - Barrel 5 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Marco Yepez.x3p,cln2242.3.5.2
Clones 224 2,Set 3/Barrel 6/Bullet 1,Clones 224 2 - Set 3 - Barrel 6 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Marco Yepez.x3p,cln2242.3.6.1
Clones 224 2,Set 3/Barrel 6/Bullet 2,Clones 224 2 - Set 3 - Barrel 6 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Marco Yepez.x3p,cln2242.3.6.2
Clones 224 2,Set 3/Barrel 7/Bullet 1,Clones 224 2 - Set 3 - Barrel 7 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Marco Yepez.x3p,cln2242.3.7.1
Clones 224 2,Set 3/Barrel 7/Bullet 2,Clones 224 2 - Set 3 - Barrel 7 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Marco Yepez.x3p,cln2242.3.7.2
Clones 224 2,Set 3/Barrel 8/Bullet 1,Clones 224 2 - Set 3 - Barrel 8 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.3.8.1
